iter	Passed	Remaining
0	134	134620
1	135	67606
2	136	45248
3	136	34055
4	137	27305
5	137	22810
6	138	19585
7	138	17180
8	139	15317
9	139	13821
10	139	12586
11	140	11568
12	141	10707
13	141	9958
14	142	9328
15	142	8776
16	143	8285
17	143	7838
18	144	7448
19	144	7086
20	145	6763
21	145	6479
22	146	6218
23	147	5978
24	147	5752
25	148	5545
26	148	5354
27	149	5179
28	149	5009
29	150	4851
30	150	4706
31	151	4572
32	151	4442
33	152	4321
34	152	4209
35	153	4106
36	153	4002
37	154	3909
38	155	3820
39	155	3733
40	156	3648
41	156	3565
42	157	3494
43	157	3424
44	158	3355
45	158	3289
46	158	3223
47	159	3161
48	159	3104
49	160	3046
50	160	2994
51	161	2940
52	161	2893
53	162	2845
54	162	2797
55	163	2754
56	163	2709
57	164	2666
58	164	2626
59	165	2587
60	165	2550
61	166	2517
62	167	2484
63	167	2452
64	168	2422
65	168	2389
66	169	2358
67	169	2326
68	170	2297
69	170	2269
70	171	2243
71	172	2217
72	172	2191
73	173	2167
74	173	2143
75	174	2119
76	174	2096
77	175	2074
78	176	2052
79	176	2031
80	177	2008
81	177	1989
82	178	1970
83	179	1952
84	179	1933
85	180	1913
86	180	1895
87	181	1877
88	181	1860
89	182	1844
90	182	1825
91	183	1808
92	183	1792
93	184	1775
94	184	1760
95	185	1744
96	185	1729
97	186	1713
98	186	1700
99	187	1686
100	188	1673
101	188	1660
102	189	1647
103	189	1634
104	190	1621
105	190	1609
106	191	1597
107	191	1583
108	192	1571
109	192	1558
110	193	1548
111	193	1535
112	194	1523
113	194	1512
114	195	1502
115	195	1492
116	196	1482
117	196	1471
118	197	1462
119	198	1452
120	198	1443
121	199	1433
122	199	1422
123	200	1413
124	200	1403
125	200	1393
126	201	1384
127	201	1375
128	202	1365
129	202	1356
130	203	1348
131	203	1339
132	204	1332
133	205	1325
134	205	1317
135	206	1309
136	206	1301
137	207	1293
138	207	1286
139	208	1279
140	208	1272
141	209	1265
142	209	1257
143	210	1250
144	210	1243
145	211	1236
146	211	1229
147	212	1222
148	212	1216
149	213	1209
150	213	1203
151	214	1195
152	214	1190
153	215	1184
154	216	1178
155	216	1173
156	218	1173
157	220	1172
158	220	1165
159	220	1159
160	221	1154
161	222	1148
162	222	1142
163	222	1136
164	223	1131
165	224	1125
166	224	1120
167	225	1114
168	225	1108
169	225	1103
170	226	1097
171	226	1092
172	227	1087
173	228	1082
174	228	1077
175	229	1072
176	229	1067
177	230	1064
178	231	1060
179	231	1055
180	232	1052
181	233	1047
182	233	1042
183	233	1036
184	234	1032
185	234	1027
186	235	1022
187	235	1018
188	236	1013
189	236	1008
190	237	1004
191	237	999
192	238	995
193	238	990
194	238	985
195	239	981
196	239	976
197	240	972
198	240	968
199	241	964
200	241	960
201	242	957
202	243	954
203	243	950
204	244	947
205	244	943
206	245	939
207	245	935
208	246	931
209	246	928
210	247	924
211	247	919
212	247	915
213	248	911
214	248	907
215	249	904
216	249	900
217	249	896
218	250	893
219	250	889
220	251	885
221	251	882
222	252	879
223	252	876
224	253	873
225	253	869
226	254	866
227	254	863
228	255	859
229	256	857
230	256	854
231	257	851
232	257	848
233	258	844
234	258	841
235	258	838
236	259	835
237	259	832
238	260	829
239	260	826
240	261	822
241	261	819
242	262	816
243	262	813
244	262	809
245	263	806
246	263	803
247	263	800
248	264	797
249	264	794
250	265	791
251	266	790
252	266	788
253	267	786
254	268	783
255	269	783
256	270	783
257	271	781
258	272	779
259	273	778
260	274	776
261	274	773
262	275	772
263	276	770
264	277	768
265	277	766
266	278	764
267	279	763
268	280	761
269	280	759
270	281	757
271	282	755
272	283	753
273	284	752
274	284	750
275	285	748
276	285	746
277	286	744
278	287	742
279	288	741
280	288	738
281	289	737
282	290	735
283	290	733
284	291	731
285	292	730
286	293	728
287	293	726
288	294	725
289	295	722
290	295	720
291	296	719
292	297	719
293	298	717
294	299	716
295	300	714
296	301	712
297	301	710
298	302	709
299	303	707
300	303	705
301	304	704
302	305	701
303	305	699
304	306	697
305	306	695
306	307	693
307	307	691
308	308	689
309	308	687
310	309	685
311	309	682
312	310	680
313	310	679
314	311	677
315	312	675
316	312	673
317	313	671
318	313	669
319	314	667
320	314	665
321	315	663
322	315	662
323	317	661
324	317	659
325	318	657
326	318	655
327	319	653
328	319	651
329	319	649
330	320	647
331	320	645
332	321	643
333	321	641
334	322	639
335	322	637
336	323	635
337	323	634
338	324	632
339	324	630
340	325	628
341	325	626
342	326	624
343	326	622
344	327	621
345	327	619
346	328	617
347	328	615
348	328	613
349	329	611
350	329	609
351	330	607
352	330	606
353	331	604
354	331	602
355	332	600
356	332	599
357	332	597
358	333	595
359	334	593
360	334	591
361	334	590
362	335	588
363	335	586
364	336	585
365	337	583
366	337	582
367	338	580
368	338	579
369	339	577
370	339	576
371	340	574
372	341	573
373	341	571
374	342	570
375	342	568
376	343	567
377	343	565
378	344	563
379	344	562
380	345	560
381	345	559
382	346	557
383	346	556
384	347	554
385	347	553
386	348	551
387	348	550
388	349	549
389	350	547
390	350	546
391	351	544
392	351	543
393	352	541
394	352	540
395	353	538
396	353	537
397	354	536
398	354	534
399	355	533
400	355	531
401	356	530
402	356	528
403	357	527
404	357	525
405	358	524
406	358	522
407	359	521
408	359	519
409	360	518
410	360	517
411	361	515
412	361	514
413	362	513
414	363	511
415	363	510
416	364	508
417	364	507
418	365	506
419	365	504
420	366	503
421	366	502
422	367	500
423	367	499
424	368	497
425	368	496
426	368	495
427	369	493
428	369	492
429	370	491
430	370	489
431	371	488
432	371	486
433	371	485
434	372	483
435	372	482
436	373	480
437	373	479
438	374	478
439	374	476
440	375	475
441	376	474
442	376	473
443	377	472
444	377	470
445	377	469
446	378	468
447	379	467
448	379	465
449	380	464
450	380	463
451	380	461
452	381	460
453	381	459
454	382	457
455	382	456
456	383	455
457	383	454
458	384	452
459	384	451
460	385	450
461	385	449
462	386	447
463	386	446
464	387	445
465	387	444
466	388	443
467	389	442
468	389	441
469	390	440
470	390	438
471	391	437
472	391	436
473	392	435
474	393	434
475	393	433
476	394	432
477	394	431
478	395	429
